Complete,Stage,Owner,Task,Notes
FALSE,By the end of the first month,New member,Update the project README and task list.,
FALSE,By the end of the first month,New member,"Summarize progress, current questions, and the next planned step.",
FALSE,By the end of the first month,New member,Identify skills that require additional training or practice.,
FALSE,By the end of the first month,New member,Provide feedback on the onboarding process.,
FALSE,During the first semester,Together,Confirm current degree requirements using departmental and university documents.,
FALSE,During the first semester,Together,Draft a plan of study showing courses and major milestones over time.,
FALSE,During the first semester,Together,"Discuss assistantship duties, thesis or dissertation research, coursework, and other lab responsibilities.",
FALSE,During the first semester,Together,"Discuss funding duration, fees, benefits, and appointment conditions using current official documents.",
FALSE,During the first semester,Together,Identify possible graduate advisory committee members and a preliminary timeline.,
FALSE,During the first semester,Together,"Establish a system for recording research progress, meeting decisions, and professional-development goals.",
FALSE,During the first semester,Together,Review fellowship and grant opportunities relevant to the student's eligibility and career stage.,
FALSE,During the first semester,Together,Review the current Auburn completion checklist for the degree.,
FALSE,During the first semester,Together,"Discuss expectations for conference participation, presentations, manuscripts, and professional service.",
FALSE,During the first semester,Together,Conduct a first-semester review and identify priorities for the next semester.,
FALSE,During the first semester,Nobu,Explain the expected progression from initial training to greater research independence.,
FALSE,During the first semester,Nobu,"Clarify which milestones are degree requirements, lab expectations, or aspirational goals.",
FALSE,During the first semester,Nobu,Review the student's plan of study and proposed timeline.,
FALSE,During the first semester,Nobu,Discuss likely funding and contingency plans without promising support beyond confirmed commitments.,
FALSE,During the first semester,Nobu,Help identify appropriate committee members and professional-development opportunities.,
FALSE,During the first semester,New member,Complete the departmental assessment pre-test if currently required.,
FALSE,During the first semester,New member,Read the current graduate handbook and degree-completion requirements.,
FALSE,During the first semester,New member,Draft the plan of study and milestone timeline before discussing revisions with Nobu.,
FALSE,During the first semester,New member,"Maintain current research notes, project documentation, and a record of completed training.",
FALSE,During the first semester,New member,"Identify short-term research, technical, writing, and professional-development goals.",
FALSE,During the first semester,New member,Prepare a concise progress summary for the first-semester review.,
FALSE,By the end of the second semester,Together,Form or substantially identify the graduate advisory committee.,
FALSE,By the end of the second semester,Together,Develop and review the research proposal.,
FALSE,By the end of the second semester,Together,Conduct the necessary literature review.,
FALSE,By the end of the second semester,Together,Plan the proposal seminar or committee presentation required for the degree.,
FALSE,By the end of the second semester,Together,"Confirm the remaining coursework, examination, and milestone schedule.",
FALSE,By the end of the second semester,Together,Review whether the thesis or dissertation scope remains feasible.,
FALSE,By the end of the second semester,Nobu,Provide feedback on the research proposal and literature review.,
FALSE,By the end of the second semester,Nobu,Help coordinate the advisory committee and required milestones.,
FALSE,By the end of the second semester,Nobu,"Review project feasibility, available resources, and contingency plans.",
FALSE,By the end of the second semester,New member,Prepare the proposal and literature review in the agreed format.,
FALSE,By the end of the second semester,New member,Contact or meet prospective committee members as agreed with Nobu.,
FALSE,By the end of the second semester,New member,Maintain an updated degree timeline and list of upcoming requirements.,
FALSE,By the end of the second semester,New member,Identify methodological or conceptual gaps that require additional training.,
FALSE,Annual responsibilities,Together,Complete the annual evaluation using the current departmental process.,
FALSE,Annual responsibilities,Together,"Review research progress, mentoring, communication, goals, workload, and concerns.",
FALSE,Annual responsibilities,Together,Update the graduate committee on research progress.,
FALSE,Annual responsibilities,Together,Update the plan of study and degree timeline.,
FALSE,Annual responsibilities,Together,"Review the publication plan, data organization, and project documentation.",
FALSE,Annual responsibilities,Together,"Review funding, assistantship, fellowship, conference, and professional-development plans for the coming year.",
FALSE,Annual responsibilities,Together,Identify priorities and specific milestones for the next 12 months.,
FALSE,Annual responsibilities,Nobu,Provide a clear assessment of progress and expectations for the next year.,
FALSE,Annual responsibilities,Nobu,"Identify resources, collaborations, or additional mentoring that may be needed.",
FALSE,Annual responsibilities,Nobu,Revisit the feasibility and priority of each active project.,
FALSE,Annual responsibilities,Nobu,Document major decisions from the annual review.,
FALSE,Annual responsibilities,New member,"Prepare an annual summary of research products, training, presentations, service, and professional development.",
FALSE,Annual responsibilities,New member,"Update project READMEs, analysis records, and the degree timeline before the annual review.",
FALSE,Annual responsibilities,New member,"Identify accomplishments, barriers, needed support, and proposed priorities for the next year.",
FALSE,Annual responsibilities,New member,Share concerns early rather than waiting for the annual review.,
FALSE,"Fieldwork onboarding, if applicable",Together,"Review the field objective, itinerary, participants, transportation, and communication plan.",
FALSE,"Fieldwork onboarding, if applicable",Together,"Review weather, heat, wildlife, venomous insects, terrain, and other site-specific risks.",
FALSE,"Fieldwork onboarding, if applicable",Together,Review emergency procedures and the location of first-aid supplies.,
FALSE,"Fieldwork onboarding, if applicable",Together,Review collection permits and restrictions.,
FALSE,"Fieldwork onboarding, if applicable",Together,Review the colony and specimen labeling system.,
FALSE,"Fieldwork onboarding, if applicable",Together,"Practice recording date, time, collector, locality, and decimal-degree GPS coordinates.",
FALSE,"Fieldwork onboarding, if applicable",Together,"Review sample transport, temporary storage, and return-to-lab procedures.",
FALSE,"Fieldwork onboarding, if applicable",Together,Confirm responsibility for equipment before departure and after return.,
FALSE,"Fieldwork onboarding, if applicable",Together,"Confirm where field notes, coordinates, photographs, and collection records will be stored.",
FALSE,"Fieldwork onboarding, if applicable",Nobu,"Verify required driver, anaphylaxis, cutting-tool, and other field-safety training.",
FALSE,"Fieldwork onboarding, if applicable",Nobu,"Confirm permits, vehicle arrangements, emergency contacts, and required equipment.",
FALSE,"Fieldwork onboarding, if applicable",Nobu,Confirm that fieldwork expectations are realistic for the new member's experience.,
FALSE,"Fieldwork onboarding, if applicable",New member,Complete all required field-safety training before participating.,
FALSE,"Fieldwork onboarding, if applicable",New member,"Review the itinerary, risks, communication plan, and emergency procedures.",
FALSE,"Fieldwork onboarding, if applicable",New member,Practice the specimen-labeling and field-record systems before departure.,
FALSE,"Fieldwork onboarding, if applicable",New member,"Confirm required clothing, personal supplies, and assigned equipment.",
FALSE,"Fieldwork onboarding, if applicable",New member,"Report any safety, accessibility, health, or travel concern through an appropriate private channel.",
FALSE,Departure and project handoff,Together,Review the status of every active or unfinished project.,
FALSE,Departure and project handoff,Together,"Agree on the publication, authorship, revision, and communication plan for each project.",
FALSE,Departure and project handoff,Together,Confirm how future questions and requests will be handled.,
FALSE,Departure and project handoff,Together,Conduct a final review of the student's experience and suggestions for improving the lab.,
FALSE,Departure and project handoff,Nobu,"Review the departing member's repositories, folders, data, and documentation.",
FALSE,Departure and project handoff,Nobu,Confirm that another person can locate and understand the work.,
FALSE,Departure and project handoff,Nobu,Record the project-handoff and publication plan.,
FALSE,Departure and project handoff,Nobu,"Reassign animal care, experiments, equipment, and routine responsibilities.",
FALSE,Departure and project handoff,Nobu,Remove access that is no longer required.,
FALSE,Departure and project handoff,Nobu,Confirm the return of lab property.,
FALSE,Departure and project handoff,Nobu,"Confirm final assistantship, payroll, enrollment, or appointment actions with the appropriate university office.",
FALSE,Departure and project handoff,New member,"Confirm the final working date and any graduation, payroll, enrollment, or appointment requirements.",
FALSE,Departure and project handoff,New member,"Place all research data, code, notes, protocols, photographs, and drafts in designated lab-owned locations.",
FALSE,Departure and project handoff,New member,Confirm that all lab project repositories are owned by the lab organization.,
FALSE,Departure and project handoff,New member,"Update each project README with current status, instructions, and unresolved problems.",
FALSE,Departure and project handoff,New member,"Document sample identities, animal-care responsibilities, and equipment status.",
FALSE,Departure and project handoff,New member,"Return keys, equipment, storage media, samples, purchasing cards, and other lab property.",
FALSE,Departure and project handoff,New member,Remove personal files and confidential information from shared computers and folders.,
FALSE,Departure and project handoff,New member,Complete the departmental assessment post-test if currently required.,
FALSE,Departure and project handoff,New member,Provide updated contact information through an appropriate private channel.,
